wavelength,Fe3+,Fe3+ - Bisabolol,Fe2+ - Bisabolol,Fe2+ - Bisabolol - CO
374,0.249674,0.386774,0.462675,0.324549
373,0.250647,0.382177,0.463047,0.335505
372,0.252405,0.378001,0.467504,0.347821
371,0.253011,0.372631,0.471656,0.358756
370,0.253951,0.36783,0.477009,0.370871
369,0.255037,0.363917,0.486203,0.384814
368,0.256273,0.360168,0.500664,0.402606
367,0.257047,0.356537,0.513153,0.415107
366,0.257728,0.35268,0.528295,0.433019
365,0.259541,0.349696,0.547993,0.453863
364,0.261114,0.346092,0.571589,0.478317
363,0.260577,0.343546,0.597789,0.502031
362,0.261725,0.338695,0.627748,0.531669
361,0.261422,0.334808,0.660139,0.561885
360,0.262259,0.332502,0.697306,0.597474
359,0.260834,0.326194,0.738875,0.635767
358,0.258776,0.321653,0.782973,0.67529
357,0.258374,0.317532,0.83245,0.720209
356,0.25407,0.309854,0.883694,0.77189
355,0.253897,0.306291,0.938558,0.82034
354,0.250472,0.302462,0.992018,0.872531
353,0.246943,0.297096,1.052356,0.92105
352,0.244256,0.290617,1.108852,0.976194
351,0.239784,0.286026,1.138456,1.01797
350,0.236468,0.277224,1.169671,1.049109
349,0.231201,0.269333,1.186118,1.069676
348,0.23536,0.268348,1.723562,1.49169
347,0.232271,0.264681,1.830311,1.590434
346,0.227783,0.258822,1.97081,1.707547
345,0.222614,0.25406,2.145873,1.844945
344,0.21925,0.24886,2.298442,1.981477
343,0.216017,0.244597,2.484084,2.147005
342,0.212805,0.240333,2.693328,2.30396
341,0.208785,0.23574,2.88895,2.463672
340,0.204297,0.231176,3.154127,2.650226
339,0.201804,0.228071,3.543248,2.859366
338,0.19699,0.223956,4.391842,3.08119
337,0.192366,0.218075,10,3.421232
336,0.189636,0.215804,10,3.661452
335,0.184944,0.211573,10,4.510394
334,0.181165,0.208182,10,10
333,0.177619,0.204061,10,10
332,0.174071,0.200739,10,10
331,0.170537,0.198199,10,10
330,0.16785,0.195646,10,10
